index,sepal.length,sepal.width,petal.length,petal.width,variety
0,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
1,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
2,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
3,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
4,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
5,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
6,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
7,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
8,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
9,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
10,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
11,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
12,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
13,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
14,"(5.75, 5.949999809265137)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
15,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
16,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
17,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
18,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
19,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
20,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
21,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
22,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
23,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
24,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
25,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
26,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
27,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
28,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
29,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
30,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
31,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
32,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
33,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
34,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
35,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
36,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
37,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
38,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
39,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
40,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
41,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
42,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
43,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
44,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
45,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
46,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
47,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
48,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
49,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(-inf, 0.800000011920929)",Setosa
50,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
51,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
52,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
53,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
54,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
55,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
56,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(1.5499999523162842, 1.6500000953674316)",Versicolor
57,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
58,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
59,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
60,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
61,"(5.75, 5.949999809265137)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
62,"(5.949999809265137, 6.050000190734863)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
63,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
64,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
65,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
66,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
67,"(5.75, 5.949999809265137)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
68,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
69,"(-inf, 5.75)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
70,"(5.75, 5.949999809265137)","(-inf, inf)","(-inf, 4.949999809265137)","(1.75, inf)",Versicolor
71,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
72,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
73,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
74,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
75,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
76,"(6.050000190734863, inf)","(-inf, inf)","(-inf, 4.949999809265137)","(0.800000011920929, 1.5499999523162842)",Versicolor
77,"(6.050000190734863, inf)","(-inf, inf)","(4.949999809265137, inf)","(1.6500000953674316, 1.75)",Versicolor
